AT1G01010	77
AT1G01020	45
AT1G01030	24
AT1G01040	43
AT1G01050	78
AT1G01060	15
AT1G01070	34
AT1G01080	191
AT1G01090	346
AT1G01100	125
AT1G01110	1
AT1G01120	189
AT1G01130	11
AT1G01140	120
AT1G01150	2
AT1G01160	125
AT1G01170	57
AT1G01180	7
AT1G01190	3
AT1G01200	0
AT1G01210	203
AT1G01220	49
AT1G01225	10
AT1G01230	51
AT1G01240	89
AT1G01250	1
AT1G01260	52
AT1G01290	16
AT1G01300	115
AT1G01310	3
AT1G01320	590
AT1G01340	7
AT1G01350	22
AT1G01355	0
AT1G01360	7
AT1G01370	0
AT1G01380	7
AT1G01390	14
AT1G01420	37
AT1G01430	110
AT1G01440	33
AT1G01448	16
AT1G01450	0
AT1G01453	0
AT1G01470	562
AT1G01480	58
AT1G01490	243
AT1G01500	40
AT1G01510	24
AT1G01520	0
AT1G01540	77
AT1G01550	194
AT1G01560	15
AT1G01570	1
AT1G01580	1
AT1G01590	81
AT1G01600	14
AT1G01610	351
AT1G01620	429
AT1G01630	59
AT1G01640	6
AT1G01650	118
AT1G01660	21
AT1G01670	7
AT1G01680	12
AT1G01690	12
AT1G01695	2
AT1G01700	0
AT1G01710	47
AT1G01720	217
AT1G01725	15
AT1G01730	43
AT1G01740	9
AT1G01750	0
AT1G01760	0
AT1G01770	36
AT1G01780	71
AT1G01790	83
AT1G01800	42
AT1G01810	2
AT1G01820	104
AT1G01830	41
AT1G01840	11
AT1G01860	15
AT1G01880	2
AT1G01900	32
AT1G01910	59
AT1G01920	4
AT1G01930	34
AT1G01940	4
AT1G01950	8
AT1G01960	58
AT1G01970	35
AT1G01990	145
AT1G02000	24
AT1G02010	24
AT1G02020	58
AT1G02030	8
AT1G02040	0
AT1G02050	0
AT1G02060	1
AT1G02065	12
AT1G02080	98
AT1G02090	147
AT1G02100	41
AT1G02110	28
AT1G02120	789
AT1G02130	62
AT1G02140	165
AT1G02145	24
AT1G02150	74
AT1G02160	72
AT1G02170	199
AT1G02180	1
AT1G02190	4
AT1G02205	479
AT1G02210	9
AT1G02220	19
AT1G02230	2
AT1G02260	37
AT1G02270	113
AT1G02280	57
AT1G02290	7
AT1G02300	83
AT1G02305	167
AT1G02310	0
AT1G02330	44
AT1G02335	5
AT1G02340	2
AT1G02350	16
AT1G02360	13
AT1G02370	8
AT1G02380	3
AT1G02390	31
AT1G02391	4
AT1G02400	23
AT1G02405	11
AT1G02410	40
AT1G02420	9
AT1G02430	0
AT1G02440	0
AT1G02450	38
AT1G02460	47
AT1G02470	0
AT1G02475	405
AT1G02500	354
AT1G02510	0
AT1G02520	4
AT1G02530	0
AT1G02540	0
AT1G02550	0
AT1G02560	252
AT1G02570	19
AT1G02580	22
AT1G02590	0
AT1G02610	13
AT1G02620	5
AT1G02640	6
AT1G02650	1
AT1G02660	16
AT1G02670	12
AT1G02680	26
AT1G02681	0
AT1G02690	34
AT1G02700	1
AT1G02710	31
AT1G02720	51
AT1G02730	0
AT1G02740	5
AT1G02750	6
AT1G02770	10
AT1G02780	628
AT1G02790	9
AT1G02800	5
AT1G02813	2
AT1G02816	23
AT1G02820	16
AT1G02840	63
AT1G02850	28
AT1G02860	30
AT1G02870	25
AT1G02880	29
AT1G02890	138
AT1G02900	0
AT1G02910	56
AT1G02920	145
AT1G02930	762
AT1G02940	8
AT1G02950	14
AT1G02960	9
AT1G02970	4
AT1G02980	7
AT1G02990	40
AT1G03000	30
AT1G03010	3
AT1G03020	2
AT1G03022	0
AT1G03030	10
AT1G03040	93
AT1G03050	15
AT1G03055	34
AT1G03060	51
AT1G03070	0
AT1G03080	184
AT1G03090	15
AT1G03100	0
AT1G03103	0
AT1G03106	5
AT1G03110	11
AT1G03120	0
AT1G03130	4034
AT1G03140	86
AT1G03150	22
AT1G03160	92
AT1G03170	20
AT1G03180	4
AT1G03190	14
AT1G03200	1
AT1G03210	12
AT1G03220	288
AT1G03230	62
AT1G03250	26
AT1G03260	16
AT1G03270	2
AT1G03280	47
AT1G03290	54
AT1G03300	2
AT1G03310	64
AT1G03320	0
AT1G03330	25
AT1G03340	2
AT1G03350	98
AT1G03360	2
AT1G03370	94
AT1G03380	50
AT1G03390	3
AT1G03400	31
AT1G03410	6
AT1G03420	0
AT1G03430	44
AT1G03440	19
AT1G03445	0
AT1G03457	6
AT1G03470	10
AT1G03475	485
AT1G03490	4
AT1G03495	3
AT1G03502	8
AT1G03506	0
AT1G03510	10
AT1G03520	23
AT1G03530	85
AT1G03540	0
AT1G03550	17
AT1G03560	16
AT1G03580	0
AT1G03590	34
AT1G03600	1261
AT1G03610	104
AT1G03620	0
AT1G03630	167
AT1G03650	1
AT1G03660	0
AT1G03680	815
AT1G03687	2
AT1G03700	0
AT1G03710	0
AT1G03730	24
AT1G03740	67
AT1G03746	0
AT1G03750	20
AT1G03760	24
AT1G03770	1
AT1G03780	0
AT1G03790	12
AT1G03800	0
AT1G03820	20
AT1G03830	32
AT1G03840	1
AT1G03850	30
AT1G03860	39
AT1G03870	48
AT1G03880	6
AT1G03890	3
AT1G03900	107
AT1G03905	0
AT1G03910	66
AT1G03920	89
AT1G03930	44
AT1G03935	0
AT1G03940	3
AT1G03950	33
AT1G03960	13
AT1G03970	24
AT1G03980	25
AT1G03990	0
AT1G04000	78
AT1G04010	22
AT1G04020	4
AT1G04030	16
AT1G04040	33
AT1G04050	0
AT1G04070	3
AT1G04080	89
AT1G04100	1
AT1G04110	4
AT1G04120	76
AT1G04130	14
AT1G04140	94
AT1G04150	0
AT1G04160	4
AT1G04170	77
AT1G04180	3
AT1G04190	21
AT1G04200	25
AT1G04210	25
AT1G04220	213
AT1G04230	15
AT1G04240	33
AT1G04250	18
AT1G04260	41
AT1G04270	225
AT1G04280	24
AT1G04290	39
AT1G04295	0
AT1G04300	163
AT1G04310	6
AT1G04330	2
AT1G04340	38
AT1G04350	96
AT1G04360	2
AT1G04370	9
AT1G04380	0
AT1G04390	17
AT1G04400	204
AT1G04410	663
AT1G04420	56
AT1G04430	123
AT1G04440	118
AT1G04445	6
AT1G04457	0
AT1G04470	6
AT1G04480	73
AT1G04490	0
AT1G04500	0
AT1G04510	85
AT1G04520	7
AT1G04530	156
AT1G04540	0
AT1G04550	8
AT1G04555	27
AT1G04570	4
AT1G04580	7
AT1G04590	34
AT1G04600	0
AT1G04610	39
AT1G04620	85
AT1G04625	0
AT1G04630	67
AT1G04635	3
AT1G04640	67
AT1G04650	0
AT1G04660	58
AT1G04680	101
AT1G04690	151
AT1G04700	33
AT1G04710	18
AT1G04730	0
AT1G04750	117
AT1G04760	0
AT1G04770	45
AT1G04780	88
AT1G04790	31
AT1G04800	303
AT1G04810	78
AT1G04820	193
AT1G04830	20
AT1G04840	4
AT1G04850	104
AT1G04860	42
AT1G04870	15
AT1G04880	8
AT1G04890	0
AT1G04900	6
AT1G04910	26
AT1G04920	5
AT1G04930	4
AT1G04940	43
AT1G04945	1
AT1G04950	25
AT1G04960	54
AT1G04970	38
AT1G04980	64
AT1G04985	75
AT1G04990	160
AT1G05000	7
AT1G05010	157
AT1G05020	9
AT1G05030	30
AT1G05055	17
AT1G05060	26
AT1G05065	0
AT1G05070	28
AT1G05080	0
AT1G05090	3
AT1G05100	11
AT1G05120	18
AT1G05135	4013
AT1G05136	0
AT1G05140	243
AT1G05150	27
AT1G05160	13
AT1G05170	9
AT1G05180	56
AT1G05190	689
AT1G05200	68
AT1G05205	18
AT1G05210	2
AT1G05220	2
AT1G05230	4
AT1G05260	1
AT1G05270	56
AT1G05280	0
AT1G05290	1
AT1G05291	2
AT1G05300	17
AT1G05310	17
AT1G05320	19
AT1G05340	82
AT1G05350	40
AT1G05360	12
AT1G05370	16
AT1G05380	42
AT1G05385	27
AT1G05400	19
AT1G05410	22
AT1G05420	21
AT1G05430	40
AT1G05440	5
AT1G05450	3
AT1G05460	32
AT1G05470	25
AT1G05490	10
AT1G05500	32
AT1G05510	0
AT1G05520	43
AT1G05530	0
AT1G05540	4
AT1G05550	3
AT1G05560	494
AT1G05570	28
AT1G05575	0
AT1G05580	0
AT1G05590	38
AT1G05600	0
AT1G05610	16
AT1G05620	102
AT1G05630	14
AT1G05640	8
AT1G05660	2
AT1G05670	20
AT1G05680	227
AT1G05690	15
AT1G05700	0
AT1G05710	7
AT1G05720	19
AT1G05730	2
AT1G05750	9
AT1G05760	0
AT1G05770	1
AT1G05780	11
AT1G05785	2
AT1G05790	31
AT1G05800	6
AT1G05805	48
