AT1G01010	64
AT1G01020	39
AT1G01030	35
AT1G01040	25
AT1G01050	45
AT1G01060	21
AT1G01070	20
AT1G01080	98
AT1G01090	116
AT1G01100	27
AT1G01110	0
AT1G01120	83
AT1G01130	2
AT1G01140	73
AT1G01150	0
AT1G01160	46
AT1G01170	22
AT1G01180	18
AT1G01190	2
AT1G01200	0
AT1G01210	83
AT1G01220	15
AT1G01225	0
AT1G01230	18
AT1G01240	24
AT1G01250	2
AT1G01260	27
AT1G01290	5
AT1G01300	109
AT1G01310	3
AT1G01320	291
AT1G01340	21
AT1G01350	10
AT1G01355	2
AT1G01360	7
AT1G01370	2
AT1G01380	7
AT1G01390	4
AT1G01420	12
AT1G01430	32
AT1G01440	27
AT1G01448	3
AT1G01450	0
AT1G01453	0
AT1G01470	592
AT1G01480	97
AT1G01490	122
AT1G01500	21
AT1G01510	12
AT1G01520	2
AT1G01540	28
AT1G01550	231
AT1G01560	58
AT1G01570	0
AT1G01580	6
AT1G01590	47
AT1G01600	26
AT1G01610	98
AT1G01620	116
AT1G01630	42
AT1G01640	6
AT1G01650	98
AT1G01660	4
AT1G01670	1
AT1G01680	14
AT1G01690	3
AT1G01695	0
AT1G01700	0
AT1G01710	42
AT1G01720	141
AT1G01725	5
AT1G01730	53
AT1G01740	2
AT1G01750	0
AT1G01760	0
AT1G01770	22
AT1G01780	38
AT1G01790	45
AT1G01800	23
AT1G01810	8
AT1G01820	104
AT1G01830	3
AT1G01840	1
AT1G01860	4
AT1G01880	2
AT1G01900	12
AT1G01910	29
AT1G01920	11
AT1G01930	21
AT1G01940	10
AT1G01950	10
AT1G01960	73
AT1G01970	25
AT1G01990	86
AT1G02000	37
AT1G02010	11
AT1G02020	64
AT1G02030	16
AT1G02040	3
AT1G02050	3
AT1G02060	0
AT1G02065	6
AT1G02080	133
AT1G02090	68
AT1G02100	22
AT1G02110	19
AT1G02120	300
AT1G02130	50
AT1G02140	89
AT1G02145	18
AT1G02150	32
AT1G02160	22
AT1G02170	196
AT1G02180	4
AT1G02190	11
AT1G02205	190
AT1G02210	0
AT1G02220	27
AT1G02230	0
AT1G02260	24
AT1G02270	97
AT1G02280	15
AT1G02290	4
AT1G02300	16
AT1G02305	66
AT1G02310	0
AT1G02330	30
AT1G02335	21
AT1G02340	7
AT1G02350	2
AT1G02360	92
AT1G02370	0
AT1G02380	1
AT1G02390	50
AT1G02391	0
AT1G02400	89
AT1G02405	19
AT1G02410	17
AT1G02420	3
AT1G02430	3
AT1G02440	0
AT1G02450	61
AT1G02460	54
AT1G02470	3
AT1G02475	331
AT1G02500	481
AT1G02510	6
AT1G02520	25
AT1G02530	2
AT1G02540	0
AT1G02550	8
AT1G02560	129
AT1G02570	10
AT1G02580	9
AT1G02590	1
AT1G02610	4
AT1G02620	1
AT1G02640	1
AT1G02650	3
AT1G02660	28
AT1G02670	0
AT1G02680	23
AT1G02681	1
AT1G02690	19
AT1G02700	0
AT1G02710	18
AT1G02720	56
AT1G02730	0
AT1G02740	24
AT1G02750	16
AT1G02770	0
AT1G02780	292
AT1G02790	27
AT1G02800	2
AT1G02813	1
AT1G02816	30
AT1G02820	8
AT1G02840	41
AT1G02850	7
AT1G02860	13
AT1G02870	18
AT1G02880	21
AT1G02890	99
AT1G02900	1
AT1G02910	14
AT1G02920	978
AT1G02930	3561
AT1G02940	1
AT1G02950	1
AT1G02960	4
AT1G02970	4
AT1G02980	4
AT1G02990	21
AT1G03000	26
AT1G03010	0
AT1G03020	2
AT1G03022	3
AT1G03030	29
AT1G03040	94
AT1G03050	4
AT1G03055	1
AT1G03060	30
AT1G03070	0
AT1G03080	149
AT1G03090	9
AT1G03100	7
AT1G03103	6
AT1G03106	2
AT1G03110	7
AT1G03120	0
AT1G03130	3771
AT1G03140	52
AT1G03150	13
AT1G03160	55
AT1G03170	5
AT1G03180	1
AT1G03190	9
AT1G03200	11
AT1G03210	13
AT1G03220	288
AT1G03230	95
AT1G03250	27
AT1G03260	7
AT1G03270	1
AT1G03280	49
AT1G03290	56
AT1G03300	0
AT1G03310	27
AT1G03320	5
AT1G03330	16
AT1G03340	4
AT1G03350	34
AT1G03360	6
AT1G03370	89
AT1G03380	42
AT1G03390	0
AT1G03400	39
AT1G03410	8
AT1G03420	0
AT1G03430	8
AT1G03440	15
AT1G03445	0
AT1G03457	7
AT1G03470	4
AT1G03475	182
AT1G03490	8
AT1G03495	4
AT1G03502	3
AT1G03506	0
AT1G03510	3
AT1G03520	12
AT1G03530	25
AT1G03540	1
AT1G03550	7
AT1G03560	0
AT1G03580	0
AT1G03590	43
AT1G03600	1062
AT1G03610	130
AT1G03620	8
AT1G03630	49
AT1G03650	1
AT1G03660	0
AT1G03680	298
AT1G03687	0
AT1G03700	2
AT1G03710	1
AT1G03730	37
AT1G03740	96
AT1G03746	2
AT1G03750	12
AT1G03760	3
AT1G03770	8
AT1G03780	6
AT1G03790	15
AT1G03800	0
AT1G03820	7
AT1G03830	18
AT1G03840	1
AT1G03850	34
AT1G03860	87
AT1G03870	5
AT1G03880	5
AT1G03890	4
AT1G03900	84
AT1G03905	2
AT1G03910	57
AT1G03920	25
AT1G03930	18
AT1G03935	0
AT1G03940	3
AT1G03950	32
AT1G03960	15
AT1G03970	23
AT1G03980	9
AT1G03990	7
AT1G04000	32
AT1G04010	20
AT1G04020	0
AT1G04030	8
AT1G04040	1
AT1G04050	9
AT1G04070	14
AT1G04080	39
AT1G04100	10
AT1G04110	0
AT1G04120	138
AT1G04130	12
AT1G04140	43
AT1G04150	0
AT1G04160	0
AT1G04170	85
AT1G04180	1
AT1G04190	14
AT1G04200	28
AT1G04210	35
AT1G04220	137
AT1G04230	9
AT1G04240	5
AT1G04250	5
AT1G04260	61
AT1G04270	188
AT1G04280	9
AT1G04290	31
AT1G04295	1
AT1G04300	139
AT1G04310	0
AT1G04330	0
AT1G04340	53
AT1G04350	37
AT1G04360	4
AT1G04370	1
AT1G04380	0
AT1G04390	13
AT1G04400	182
AT1G04410	357
AT1G04420	22
AT1G04430	89
AT1G04440	114
AT1G04445	0
AT1G04457	0
AT1G04470	0
AT1G04480	99
AT1G04490	0
AT1G04500	4
AT1G04510	74
AT1G04520	3
AT1G04530	84
AT1G04540	0
AT1G04550	0
AT1G04555	8
AT1G04570	11
AT1G04580	1
AT1G04590	32
AT1G04600	0
AT1G04610	17
AT1G04620	37
AT1G04625	0
AT1G04630	15
AT1G04635	1
AT1G04640	29
AT1G04650	2
AT1G04660	12
AT1G04680	60
AT1G04690	133
AT1G04700	11
AT1G04710	14
AT1G04730	0
AT1G04750	70
AT1G04760	3
AT1G04770	36
AT1G04780	93
AT1G04790	19
AT1G04800	77
AT1G04810	49
AT1G04820	105
AT1G04830	12
AT1G04840	1
AT1G04850	60
AT1G04860	39
AT1G04870	23
AT1G04880	11
AT1G04890	0
AT1G04900	9
AT1G04910	53
AT1G04920	6
AT1G04930	5
AT1G04940	34
AT1G04945	3
AT1G04950	10
AT1G04960	48
AT1G04970	26
AT1G04980	90
AT1G04985	59
AT1G04990	166
AT1G05000	26
AT1G05010	387
AT1G05020	4
AT1G05030	27
AT1G05055	10
AT1G05060	23
AT1G05065	3
AT1G05070	16
AT1G05080	1
AT1G05090	0
AT1G05100	6
AT1G05120	19
AT1G05135	1312
AT1G05136	0
AT1G05140	150
AT1G05150	7
AT1G05160	1
AT1G05170	10
AT1G05180	14
AT1G05190	282
AT1G05200	28
AT1G05205	10
AT1G05210	11
AT1G05220	0
AT1G05230	9
AT1G05260	3
AT1G05270	39
AT1G05280	5
AT1G05290	0
AT1G05291	0
AT1G05300	124
